tdtindex,tdtsp,rid,fcid,consult,consent,legal_doc,individual_use,cws,communicat_use,advocacy,interview_s1,interview_s2,interview_s3,total,admsp,sjac,iu_del,com_pub,eva,note,status
11.0,YQ,R0039,8110020039,2021-08-26,2021-09-02,Yes,Yes,Yes,No,No,2021-06-14,2021-09-23,,2.0,,2021-09-06,2023-04-26,,,Communication is incomplete ,Incomplete pathways
12.0,YQ,R0049,8110060002,2022-12-21,2022-12-21,Yes,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
13.0,YQ,R0057,8110050006,2022-12-21,2022-12-21,Yes,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
14.0,SA,R0059,8110050007,2023-06-21,2023-06-21,No,No,Yes,No,Yes,,,,0.0,,,,,,Advocacy in incomplete.,Incomplete pathways
15.0,SA,R0061,8110020050,2023-05-03,2023-05-03,Yes,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
16.0,SA,R0065,8110060004,2023-05-03,2023-05-03,No,Yes,Yes,Yes,Yes,2023-06-02,2023-06-05,,2.0,,,2023-08-03,,,Communication and advocacy are incomplete.,Incomplete pathways
17.0,SA,R0066,8110060006,2023-05-03,2023-05-03,No,Yes,Yes,Yes,Yes,2023-08-22,2023-08-29,2023-09-07,2.0,,,,,,,Ongoing
18.0,YQ,R0067,8110020049,2021-11-11,2021-11-17,No,No,Yes,No,Yes,,,,0.0,,,,,2022-12-28,,Completed 
19.0,SA,R0077,8110060007,2023-08-01,2023-08-08,Yes,Yes,Yes,Yes,Yes,2023-08-21,2023-08-28,,2.0,,,,,,,Ongoing
20.0,LA,R0083,8110060010,2023-09-07,2023-09-07,No,No,Yes,No,Yes,,,,,,,,,,,
21.0,SA,R0089,8110060012,2022-12-01,2022-12-01,Yes,Yes,Yes,Yes,Yes,2023-08-03,2023-08-17,,2.0,2023-01-18,,,,,,Ongoing
22.0,SA,R0094,8110050013,2022-10-31,2022-10-31,No,Yes,Yes,No,Yes,,,,0.0,,,,,,,Ongoing
23.0,SA,R0095,8110050012,2022-10-31,2022-10-31,No,Yes,Yes,No,No,,,,0.0,,,,,,,Ongoing
24.0,YQ,R0096,8110020057,2022-10-31,2022-10-31,Yes,No,Yes,No,Yes,,,,0.0,2023-05-17,,,,,"Advocacy is incomplete. If there is no plan, client is ready for evaluation. ",Incomplete pathways
25.0,YQ,R0102,8110050015,2022-11-01,2022-11-01,Yes,Yes,Yes,Yes,Yes,2023-07-28,2023-08-10,2023-08-17,3.0,,,,,,,Ongoing
26.0,YQ,R0109,8110050020,2022-10-31,2022-10-31,Yes,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
27.0,YQ,R0110,8110050018,2022-10-31,2022-10-31,No,Yes,Yes,Yes,Yes,2023-05-04,2023-05-18,,2.0,,,2023-07-20,,,Communication and advocacy are incomplete,Incomplete pathways
28.0,YQ,R0112,8110050019,2022-10-31,2022-10-31,No,Yes,Yes,Yes,Yes,2023-08-16,2023-08-23,,2.0,,,,,,,Ongoing
29.0,YQ,R0114,8110050021,2022-10-31,2022-10-31,No,Yes,Yes,Yes,Yes,2023-05-16,2023-05-23,,2.0,,,2023-07-24,,,Communication and advocacy are incomplete. Confirm legal.,Incomplete pathways
30.0,SA,R0118,8110020068,2022-11-30,2022-11-30,Yes,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
31.0,YQ,R0125,8110050025,2022-12-05,2022-12-05,No,No,Yes,No,Yes,,,,0.0,,,,,,"Advocacy is incomplete. If there is no plan, client is ready for evaluation. ",Incomplete pathways
32.0,YQ,R0129,8110050029,2022-12-05,2022-12-05,No,No,Yes,No,No,,,,0.0,,,,,,Ready for evaluation ,Ready for evaluation
33.0,SA,R0140,8110020070,2022-11-30,2022-11-30,No,Yes,Yes,No,Yes,,,,0.0,,,,,,,Ongoing
34.0,SA,R0155,8110020067,2022-11-30,2022-11-30,Yes,Yes,Yes,Yes,Yes,2023-05-31,2023-06-05,,2.0,,,2023-08-24,,,"Communication, legal, and advocacy are incomplete.",Incomplete pathways
35.0,YQ,R0184,8110050032,2022-12-02,2022-12-02,No,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
36.0,IJ,R0215,8110020080,2023-09-07,2023-09-11,No,Yes,Yes,Yes,No,,,,,,,,,,,
37.0,YQ,R0226,8110050042,2022-12-02,2022-12-02,Yes,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
39.0,SA,R0255,8110070004,2022-12-19,2022-12-19,No,Yes,Yes,No,No,2023-07-28,2023-08-04,,2.0,,,,,,,Ongoing
40.0,LA,R0294,8110020113,2023-09-11,2023-09-11,No,No,Yes,No,No,,,,,,,,,,,
41.0,LA,R0300,8110020093,2023-08-04,2023-07-26,No,Yes,Yes,No,Yes,2023-08-11,2023-08-17,2023-08-25,3.0,,,,,,,Ongoing
42.0,IJ,R0314,8110020091,2023-07-31,2023-07-31,No,Yes,Yes,Yes,No,2023-09-07,2023-09-15,,0.0,,,,,,,Ongoing
43.0,MT,R0333,8110020107,2023-08-03,,Yes,Yes,Yes,No,No,,,,0.0,,,,,,,Ongoing
44.0,SA,R0334,8110020081,2022-11-21,2022-11-21,Yes,Yes,Yes,Yes,Yes,,,,0.0,2023-05-17,,,,,,Ongoing
45.0,YQ,R0336,8110050059,2022-12-02,2022-12-02,Yes,Yes,Yes,Yes,Yes,2023-08-02,2023-08-09,,2.0,,,,,,,Ongoing
46.0,YQ,R0346,8110050053,2022-12-22,2022-12-22,No,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
47.0,YQ,R0357,8110050036,2022-12-21,2022-12-21,Yes,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
48.0,IJ,R0359,8110050048,2023-09-07,2023-09-12,No,Yes,Yes,Yes,No,,,,,,,,,,,
49.0,MT,R0367,8110020110,2023-09-15,2023-09-15,No,Yes,Yes,Yes,No,,,,,,,,,,,
50.0,YQ,R0378,8110050066,2023-08-25,2023-08-25,Yes,No,Yes,No,No,,,,0.0,,,,,,,Ongoing
51.0,MT,R0391,8110050067,2023-08-29,2023-09-05,Yes,Yes,Yes,Yes,Yes,,,,0.0,,,,,,,Ongoing
52.0,SA,R0400,8110050037,2023-06-15,2023-06-15,Yes,No,Yes,No,Yes,,,,0.0,,,,,,Legal and advocacy are incomplete.,Incomplete pathways
53.0,IJ,R0402,8110020119,2023-07-24,2023-07-24,No,Yes,Yes,Yes,Yes,2023-07-08,2023-08-18,2023-09-15,3.0,,,,,,,Ongoing
54.0,MT,R0406,8110050045,2023-08-23,2023-08-29,Yes,Yes,Yes,Yes,Yes,,,,0.0,2023-09-01,,,,,,Ongoing
55.0,YQ,R0415,8110020102,2023-05-11,2023-05-11,Yes,Yes,No,Yes,Yes,,,,0.0,,,,,,,Ongoing
56.0,YQ,R0452,8110050080,2023-08-23,2023-08-23,Yes,Yes,Yes,No,No,,,,0.0,2023-06-10,,,,,Confirm legal pathway.,Ongoing
57.0,MT,R0497,8110020115,2023-09-12,2023-09-12,Yes,Yes,Yes,No,No,,,,,,,,,,,
58.0,MT,R0501,8110020120,2023-08-03,2023-07-28,Yes,Yes,Yes,Yes,Yes,2023-08-09,2023-08-25,,2.0,,,,,,,Ongoing
,MT,R0511,8110020112,2023-08-21,2023-08-28,No,Yes,Yes,No,No,,,,0.0,,,,,,,Ongoing
,LA,R0521,8110020114,2023-09-26,2023-09-26,No,No,Yes,No,No,,,,,,,,,,,
,YQ,R0534,8110050087,2023-08-24,2023-08-24,Yes,Yes,Yes,Yes,No,,,,0.0,2023-09-01,,,,,,Ongoing
,Rahaf,,8110020022,2020-11-18,2020-11-25,Yes,Yes,Yes,No,No,,,,0.0,,,,,,Dropped out after consent meeting,Dropped out
,YQ,,8110020035,2020-08-01,2020-09-01,Yes,No,No,No,No,,,,0.0,,,,,,Dropped out after consent meeting,Dropped out
,Sultana,,8110030010,2020-08-26,2020-09-10,Yes,Yes,Yes,Yes,Yes,2020-10-01,,,1.0,,,2021-06-25,2021-08-06,2021-08-18,,Completed 
,SA,,8110030011,2020-09-15,2020-09-28,Yes,Yes,No,Yes,No,2020-11-12,,,1.0,,2020-09-25,,,,,Incomplete pathways
